HEADINGS,Content
Indian Super League (ISL),"The Indian Super League (ISL) is the men's highest level of the Indian football league system. Administered by the All India Football Federation (AIFF) and its commercial partner Football Sports Development Limited (FSDL), the league currently comprises 12 clubs."
Sport as a Symbol of National Power,"India has been under direct British colonial rule since 1858, and showed constant political, social, and cultural resistance throughout history. Though the British Raj has attained direct control over the subcontinent, there is a perspective that the Native Indians were able to cultivate their own form of national empowerment and a sense of implicit sovereignty through means of sport."
history of sports,"India has several traditional games and sports, some of which have been played for thousands of years. Their popularity has greatly declined in the modern era, with Western sports having overtaken them during the British Raj, and the Indian government now making some efforts to revive them."
Neeraj Chopra,"Neeraj Chopra is a 2020 Summer Olympics gold medalist, Diamond league 2022 champion, and a World Athletics Championship 2022 medalist in javelin throwing."
Mary kom,"Mary Kom, Olympic medalist, famous Indian amateur boxer"
Sachin Tendulkar,"Sachin Tendulkar is widely considered as one of the greatest batter of all time, In a career of 24 years, he has created many batting records"
